model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,alpha_norm,template_name,first_token_logit_diff_canonical_AB,first_token_logit_diff_canonical_BA,logprob_diff_canonical_AB,logprob_diff_canonical_BA,d_AB,d_BA,semantic_component,position_component,first_token_d_AB,first_token_d_BA,first_token_semantic_component,first_token_position_component
llama3_8b,13,neutral_nonopposite::neutral::006,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,1.25,-1.75,1.249799728393555,-1.746216058731079,1.249799728393555,-1.746216058731079,-0.2482081651687622,1.498007893562317,1.25,-1.75,-0.25,1.5
llama3_8b,13,neutral_nonopposite::neutral::006,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,1.25,-1.625,1.2498559951782229,-1.6290405988693235,1.2498559951782229,-1.6290405988693235,-0.1895923018455505,1.4394482970237732,1.25,-1.625,-0.1875,1.4375
llama3_8b,13,neutral_nonopposite::neutral::006,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,2.5,-1.125,2.4999126195907597,-1.117282509803772,2.4999126195907597,-1.117282509803772,0.6913150548934937,1.8085975646972656,2.5,-1.125,0.6875,1.8125
llama3_8b,13,neutral_nonopposite::neutral::006,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,3.0,-0.75,3.007734656333924,-0.7422707080841064,3.007734656333924,-0.7422707080841064,1.1327319741249084,1.875002682209015,3.0,-0.75,1.125,1.875
llama3_8b,13,neutral_nonopposite::neutral::006,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,3.25,-0.375,3.249919295310974,-0.3750829696655273,3.249919295310974,-0.3750829696655273,1.4374181628227234,1.8125011324882507,3.25,-0.375,1.4375,1.8125
llama3_8b,13,neutral_nonopposite::neutral::006,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,3.5,-0.25,3.492113709449768,-0.2500760555267334,3.492113709449768,-0.2500760555267334,1.6210188269615171,1.8710948824882507,3.5,-0.25,1.625,1.875
llama3_8b,13,neutral_nonopposite::neutral::006,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,3.75,-0.125,3.749926447868347,-0.1250759363174438,3.749926447868347,-0.1250759363174438,1.812425255775452,1.9375011920928955,3.75,-0.125,1.8125,1.9375
llama3_8b,13,neutral_nonopposite::neutral::006,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,3.875,0.125,3.8788247108459473,0.1249313354492187,3.8788247108459473,0.1249313354492187,2.001878023147583,1.8769466876983645,3.875,0.125,2.0,1.875
llama3_8b,13,neutral_nonopposite::neutral::007,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-2.125,-1.25,-2.125,-1.25,-2.125,-1.25,-1.6875,-0.4375,-2.125,-1.25,-1.6875,-0.4375
llama3_8b,13,neutral_nonopposite::neutral::007,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,-1.5,-1.125,-1.4921875,-1.1328125,-1.4921875,-1.1328125,-1.3125,-0.1796875,-1.5,-1.125,-1.3125,-0.1875
llama3_8b,13,neutral_nonopposite::neutral::007,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,-0.625,-1.0,-0.625,-1.0,-0.625,-1.0,-0.8125,0.1875,-0.625,-1.0,-0.8125,0.1875
llama3_8b,13,neutral_nonopposite::neutral::007,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,0.25,-0.625,0.25,-0.625,0.25,-0.625,-0.1875,0.4375,0.25,-0.625,-0.1875,0.4375
llama3_8b,13,neutral_nonopposite::neutral::007,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,0.75,-0.625,0.75,-0.625,0.75,-0.625,0.0625,0.6875,0.75,-0.625,0.0625,0.6875
llama3_8b,13,neutral_nonopposite::neutral::007,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,1.625,-1.125,1.6328125,-1.12890625,1.6328125,-1.12890625,0.251953125,1.380859375,1.625,-1.125,0.25,1.375
llama3_8b,13,neutral_nonopposite::neutral::007,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,1.875,-1.25,1.875,-1.25390625,1.875,-1.25390625,0.310546875,1.564453125,1.875,-1.25,0.3125,1.5625
llama3_8b,13,neutral_nonopposite::neutral::007,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,2.0,-1.375,2.0078125,-1.375,2.0078125,-1.375,0.31640625,1.69140625,2.0,-1.375,0.3125,1.6875
llama3_8b,13,neutral_nonopposite::neutral::007,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,2.25,-1.375,2.25390625,-1.375,2.25390625,-1.375,0.439453125,1.814453125,2.25,-1.375,0.4375,1.8125
llama3_8b,13,neutral_nonopposite::neutral::007,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,2.25,-1.375,2.25,-1.375,2.25,-1.375,0.4375,1.8125,2.25,-1.375,0.4375,1.8125
llama3_8b,13,neutral_nonopposite::neutral::007,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,2.375,-1.375,2.37109375,-1.3828125,2.37109375,-1.3828125,0.494140625,1.876953125,2.375,-1.375,0.5,1.875
llama3_8b,13,neutral_nonopposite::neutral::008,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-0.625,2.375,-0.6249535083770752,2.3751344680786133,-0.6249535083770752,2.3751344680786133,0.875090479850769,-1.5000439882278442,-0.625,2.375,0.875,-1.5
llama3_8b,13,neutral_nonopposite::neutral::008,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,-0.5,2.5,-0.4999796152114868,2.500083446502685,-0.4999796152114868,2.500083446502685,1.0000519156455994,-1.5000315308570862,-0.5,2.5,1.0,-1.5
llama3_8b,13,neutral_nonopposite::neutral::008,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,0.0,2.125,1.5974044799804688e-05,2.1172595024108887,1.5974044799804688e-05,2.1172595024108887,1.0586377382278442,-1.0586217641830444,0.0,2.125,1.0625,-1.0625
llama3_8b,13,neutral_nonopposite::neutral::008,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,0.125,1.75,0.125023603439331,1.7422757148742676,0.125023603439331,1.7422757148742676,0.9336496591567992,-0.8086260557174683,0.125,1.75,0.9375,-0.8125
llama3_8b,13,neutral_nonopposite::neutral::008,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,0.125,0.375,0.125037670135498,0.3750724792480469,0.125037670135498,0.3750724792480469,0.2500550746917724,-0.1250174045562744,0.125,0.375,0.25,-0.125
llama3_8b,13,neutral_nonopposite::neutral::008,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,0.875,-1.25,0.8750495910644531,-1.2499630451202393,0.8750495910644531,-1.2499630451202393,-0.187456727027893,1.0625063180923462,0.875,-1.25,-0.1875,1.0625
llama3_8b,13,neutral_nonopposite::neutral::008,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,1.25,-1.625,1.2500488758087158,-1.6171541213989258,1.2500488758087158,-1.6171541213989258,-0.1835526227951049,1.4336014986038208,1.25,-1.625,-0.1875,1.4375
llama3_8b,13,neutral_nonopposite::neutral::008,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,1.375,-2.0,1.375049114227295,-1.999975323677063,1.375049114227295,-1.999975323677063,-0.312463104724884,1.687512218952179,1.375,-2.0,-0.3125,1.6875
llama3_8b,13,neutral_nonopposite::neutral::008,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,1.625,-2.0,1.609424114227295,-1.9999780654907229,1.609424114227295,-1.9999780654907229,-0.1952769756317138,1.8047010898590088,1.625,-2.0,-0.1875,1.8125
llama3_8b,13,neutral_nonopposite::neutral::008,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,1.875,-2.25,1.8594191074371336,-2.2499797344207764,1.8594191074371336,-2.2499797344207764,-0.1952803134918213,2.054699420928955,1.875,-2.25,-0.1875,2.0625
