"model_name","score_mode","component","pair_class","valence_status","opposition_status","alpha_norm","mean","ci_low","ci_high","n_pairs"
"qwen25_3b","first_token","position","valenced_opposite","valenced","opposite",-1,-4.128515625,-4.804306640625,-3.468720703125,80
"qwen25_3b","first_token","position","neutral_nonopposite","neutral","nonopposite",-0.8,-3.04,-4.115,-1.892375,25
"qwen25_3b","first_token","position","neutral_opposite","neutral","opposite",-0.8,-5.1484375,-6.39322916666667,-3.8123046875,24
"qwen25_3b","first_token","position","valenced_nonopposite","valenced","nonopposite",-0.8,-5.78125,-6.48221914556962,-5.1459355221519,79
"qwen25_3b","first_token","position","valenced_opposite","valenced","opposite",-0.8,-3.9109375,-4.57421875,-3.25546875,80
"qwen25_3b","first_token","position","neutral_nonopposite","neutral","nonopposite",-0.6,-1.2425,-2.3750625,-0.0499375000000009,25
"qwen25_3b","first_token","position","neutral_opposite","neutral","opposite",-0.6,-4.13541666666667,-5.3984375,-2.7525390625,24
"qwen25_3b","first_token","position","valenced_nonopposite","valenced","nonopposite",-0.6,-5.5379746835443,-6.21089794303797,-4.90184928797468,79
"qwen25_3b","first_token","position","valenced_opposite","valenced","opposite",-0.6,-3.591796875,-4.273837890625,-2.923759765625,80
"qwen25_3b","first_token","position","neutral_nonopposite","neutral","nonopposite",-0.4,0.765,-0.4,2.000125,25
"qwen25_3b","first_token","position","neutral_opposite","neutral","opposite",-0.4,-2.98697916666667,-4.24479166666667,-1.60930989583333,24
"qwen25_3b","first_token","position","valenced_nonopposite","valenced","nonopposite",-0.4,-5.16732594936709,-5.81170886075949,-4.50751582278481,79
"qwen25_3b","first_token","position","valenced_opposite","valenced","opposite",-0.4,-3.15078125,-3.866015625,-2.436318359375,80
"qwen25_3b","first_token","position","neutral_nonopposite","neutral","nonopposite",-0.2,2.7575,1.5025,3.9925625,25
"qwen25_3b","first_token","position","neutral_opposite","neutral","opposite",-0.2,-1.69791666666667,-2.88802083333333,-0.343684895833334,24
"qwen25_3b","first_token","position","valenced_nonopposite","valenced","nonopposite",-0.2,-4.59612341772152,-5.28362341772152,-3.93425632911393,79
"qwen25_3b","first_token","position","valenced_opposite","valenced","opposite",-0.2,-2.484375,-3.230869140625,-1.742177734375,80
"qwen25_3b","first_token","position","neutral_nonopposite","neutral","nonopposite",0,4.5825,3.3275,5.8225,25
"qwen25_3b","first_token","position","neutral_opposite","neutral","opposite",0,-0.307291666666667,-1.52083333333333,0.984375,24
"qwen25_3b","first_token","position","valenced_nonopposite","valenced","nonopposite",0,-3.66257911392405,-4.40076147151899,-2.94143591772152,79
"qwen25_3b","first_token","position","valenced_opposite","valenced","opposite",0,-1.634375,-2.446533203125,-0.825712890625001,80
"qwen25_3b","first_token","position","neutral_nonopposite","neutral","nonopposite",0.2,8.2925,7.2349375,9.3650625,25
"qwen25_3b","first_token","position","neutral_opposite","neutral","opposite",0.2,2.80989583333333,1.69270833333333,3.99225260416667,24
"qwen25_3b","first_token","position","valenced_nonopposite","valenced","nonopposite",0.2,-0.385284810126582,-1.13928006329114,0.405933544303796,79
"qwen25_3b","first_token","position","valenced_opposite","valenced","opposite",0.2,1.137109375,0.413212890625,1.908623046875,80
"qwen25_3b","first_token","position","neutral_nonopposite","neutral","nonopposite",0.4,10.37,9.3999375,11.36,25
