"contrast","opposition_status","estimate","SE","df","ci_low","ci_high","p_value","model_name","score_mode","component","contrast_family","contrast_stratum","valence_status","p_holm_across_models"
"opposite - nonopposite",NA,0.265951355096304,0.142381039912723,203.99994866257,-0.0147757731266236,0.546678483319231,0.063212131854662,"llama3_8b","first_token","semantic","opposite_minus_nonopposite_within_valence","valenced","valenced",0.505697054837296
"valenced - neutral","nonopposite",-0.163249854967685,0.0972352209034543,203.99998278162,-0.354964737200871,0.0284650272655002,0.0946992657193078,"llama3_8b","first_token","position","valenced_minus_neutral_within_opposition","nonopposite",NA,0.0946992657193078
"valenced - neutral","opposite",0.0199476534694973,0.0986180795092114,203.999982913169,-0.174493756992984,0.214389063931979,0.839905844829606,"llama3_8b","first_token","position","valenced_minus_neutral_within_opposition","opposite",NA,0.839905844829606
"opposite - nonopposite",NA,-0.115509977448527,0.121091288475096,203.999983379303,-0.354260935109355,0.123240980212301,0.341259030713143,"llama3_8b","first_token","position","opposite_minus_nonopposite_within_valence","neutral","neutral",0.682518061426285
"opposite - nonopposite",NA,0.0676875309886558,0.0672094758621857,203.999981143961,-0.0648267640452803,0.200201826022592,0.315073582437736,"llama3_8b","first_token","position","opposite_minus_nonopposite_within_valence","valenced","valenced",0.630147164875471
"valenced - neutral","nonopposite",4.21181783341428,0.385758585094238,204.999881721526,3.45125485456546,4.9723808122631,3.58508898368305e-22,"mistral_7b","sequence","semantic","valenced_minus_neutral_within_opposition","nonopposite",NA,1.07552669510491e-21
"valenced - neutral","opposite",3.5250940674853,0.39183389719236,204.999881698427,2.75255298200315,4.29763515296746,1.59139532265646e-16,"mistral_7b","sequence","semantic","valenced_minus_neutral_within_opposition","opposite",NA,4.77418596796939e-16
"opposite - nonopposite",NA,0.181359583734242,0.48112548647644,204.999881533586,-0.767229112243082,1.12994827971157,0.70660169768396,"mistral_7b","sequence","semantic","opposite_minus_nonopposite_within_valence","neutral","neutral",1
"opposite - nonopposite",NA,-0.50536418219474,0.266198713794171,204.999882237262,-1.0302024996013,0.0194741352118185,0.0590419043331031,"mistral_7b","sequence","semantic","opposite_minus_nonopposite_within_valence","valenced","valenced",0.447077426816586
"valenced - neutral","nonopposite",-1.70889942297077,0.266277360073455,205.000001606421,-2.23389279784208,-1.18390604809946,9.41719734894274e-10,"mistral_7b","sequence","position","valenced_minus_neutral_within_opposition","nonopposite",NA,4.70859867447137e-09
"valenced - neutral","opposite",-1.15370258495371,0.270470962314906,205.000001580471,-1.68696408067881,-0.620441089228615,3.04428412815331e-05,"mistral_7b","sequence","position","valenced_minus_neutral_within_opposition","opposite",NA,0.000213099888970731
"opposite - nonopposite",NA,-1.1907523618582,0.332106217083169,205.00000140926,-1.84553414156014,-0.53597058215625,0.00042062023948414,"mistral_7b","sequence","position","opposite_minus_nonopposite_within_valence","neutral","neutral",0.0021031011974207
"opposite - nonopposite",NA,-0.635555523841136,0.183748835419295,205.00000219564,-0.997835370716555,-0.273275676965716,0.000659793174732884,"mistral_7b","sequence","position","opposite_minus_nonopposite_within_valence","valenced","valenced",0.00527834539786308
"valenced - neutral","nonopposite",4.19122586227671,0.38213034254373,205.000006183108,3.43781634187727,4.94463538267614,2.53478842787045e-22,"mistral_7b","first_token","semantic","valenced_minus_neutral_within_opposition","nonopposite",NA,7.60436528361136e-22
"valenced - neutral","opposite",3.53807232547477,0.388148513448594,205.000006231237,2.77279735826333,4.30334729268621,7.3106856018224e-17,"mistral_7b","first_token","semantic","valenced_minus_neutral_within_opposition","opposite",NA,2.19320568054672e-16
"opposite - nonopposite",NA,0.179757407024857,0.476600272963069,205.000006466408,-0.759909358723547,1.11942417277326,0.706440414671368,"mistral_7b","first_token","semantic","opposite_minus_nonopposite_within_valence","neutral","neutral",1
"opposite - nonopposite",NA,-0.473396129777081,0.263694988569124,205.000005429113,-0.993298091896722,0.0465058323425612,0.0740882169092529,"mistral_7b","first_token","semantic","opposite_minus_nonopposite_within_valence","valenced","valenced",0.51861751836477
"valenced - neutral","nonopposite",-1.72814947307052,0.266350844052084,204.999980585883,-2.25328772953097,-1.20301121661006,6.39670558489786e-10,"mistral_7b","first_token","position","valenced_minus_neutral_within_opposition","nonopposite",NA,3.19835279244893e-09
"valenced - neutral","opposite",-1.14302167511963,0.270545603592742,204.999980672908,-1.67643033417232,-0.609613016066934,3.5961759209344e-05,"mistral_7b","first_token","position","valenced_minus_neutral_within_opposition","opposite",NA,0.000215770555256064
"opposite - nonopposite",NA,-1.18916200990229,0.332197867706982,204.99998108375,-1.84412448868045,-0.534199531124125,0.00042946380948278,"mistral_7b","first_token","position","opposite_minus_nonopposite_within_valence","neutral","neutral",0.0021473190474139
"opposite - nonopposite",NA,-0.604034211951397,0.183799544182115,204.999979150275,-0.966414036642926,-0.241654387259868,0.00119384769525326,"mistral_7b","first_token","position","opposite_minus_nonopposite_within_valence","valenced","valenced",0.00955078156202606
"valenced - neutral","nonopposite",2.74971673182612,0.354258881113412,204.999942335197,2.05125868101076,3.44817478264149,3.90069589160054e-13,"gemma2_9b","sequence","semantic","valenced_minus_neutral_within_opposition","nonopposite",NA,3.90069589160054e-13
"valenced - neutral","opposite",2.77786975933375,0.359838104361989,204.999942367559,2.06841169242061,3.4873278262469,5.04010617919337e-13,"gemma2_9b","sequence","semantic","valenced_minus_neutral_within_opposition","opposite",NA,5.04010617919337e-13
"opposite - nonopposite",NA,0.126319117519598,0.44183845311609,204.999942922881,-0.744811124193919,0.997449359233114,0.775247723800514,"gemma2_9b","sequence","semantic","opposite_minus_nonopposite_within_valence","neutral","neutral",1
"opposite - nonopposite",NA,0.154472145027227,0.244461852947525,204.999940483599,-0.327509700511701,0.636453990566154,0.528165076895482,"gemma2_9b","sequence","semantic","opposite_minus_nonopposite_within_valence","valenced","valenced",1
"valenced - neutral","nonopposite",-0.323720556621556,0.102634870384638,204.999982827422,-0.526075826319122,-0.121365286923989,0.00185181113783068,"gemma2_9b","sequence","position","valenced_minus_neutral_within_opposition","nonopposite",NA,0.00370362227566136
"valenced - neutral","opposite",-0.362199765986095,0.104251266995966,204.999982775631,-0.567741928900648,-0.156657603071541,0.000624904539186006,"gemma2_9b","sequence","position","valenced_minus_neutral_within_opposition","opposite",NA,0.00249961815674403
"opposite - nonopposite",NA,-0.107241691357414,0.128008173638423,204.999982664105,-0.359623054564119,0.145139671849291,0.403134321284595,"gemma2_9b","sequence","position","opposite_minus_nonopposite_within_valence","neutral","neutral",0.684771239360224
"opposite - nonopposite",NA,-0.145720900721953,0.0708247892400056,204.999983235434,-0.285359303090027,-0.00608249835387895,0.0409052300930779,"gemma2_9b","sequence","position","opposite_minus_nonopposite_within_valence","valenced","valenced",0.163620920372312
